_ms":1,"request_id":"req_2df88331-b46a-4954-b1c4-2e52254d5114","tenant_id":"18648eba-1f32-4ddd-9029-c0b84ae0f875","user_id":"4b71bae5-ee64-4e1f-820f-cac74de958cf"}
{"time":"2026-09-10T08:19:46.741954305Z","level":"INFO","msg":"http request","method":"GET","path":"/api/v1/networks/vpcs/vpc_ffe93b0291c34f38b6f223f46a580563","status":200,"latency_ms":1,"request_id":"req_c0003709-2def-4c0e-8731-a9190f1ef66d","tenant_id":"18648eba-1f32-4ddd-9029-c0b84ae0f875","user_id":"4b71bae5-ee64-4e1f-820f-cac74de958cf"}
{"time":"2026-09-10T08:20:36.070861673Z","level":"INFO","msg":"http request","method":"GET","path":"/api/v1/networks/vpcs/vpc_9e3d6b035c674a2a9a6eab4d515d61e7","status":200,"latency_ms":1,"request_id":"req_2040bc40-b345-4168-a51d-8cac170e4229","tenant_id":"fd39ecf7-ac0c-4540-9fbd-4ba08486f30f","user_id":"b6b681d5-f45c-4c36-af1c-3aa26381841d"}
{"time":"2026-09-10T08:20:38.100249293Z","level":"INFO","msg":"http request","method":"GET","path":"/api/v1/networks/vpcs/vpc_9e3d6b035c674a2a9a6eab4d515d61e7","status":200,"latency_ms":1,"request_id":"req_b156aa7e-067f-478d-b21f-1eb78c42f9b3","tenant_id":"fd39ecf7-ac0c-4540-9fbd-4ba08486f30f","user_id":"b6b681d5-f45c-4c36-af1c-3aa26381841d"}
{"time":"2026-09-10T08:20:40.128831015Z","level":"INFO","msg":"http request","method":"GET","path":"/api/v1/networks/vpcs/vpc_9e3d6b035c674a2a9a6eab4d515d61e7","status":200,"latency_ms":1,"request_id":"req_fa448f30-bdc1-469f-99f4-983380e508a9","tenant_id":"fd39ecf7-ac0c-4540-9fbd-4ba08486f30f","user_id":"b6b681d5-f45c-4c36-af1c-3aa26381841d"}
{"time":"2026-09-10T08:20:42.156774204Z","level":"INFO","msg":"http request","method":"GET","path":"/api/v1/networks/vpcs/vpc_9e3d6b035c674a2a9a6eab4d515d61e7","status":200,"latency_ms":2,"request_id":"req_23533055-598e-49f4-8d61-279bea7a9b8a","tenant_id":"fd39ecf7-ac0c-4540-9fbd-4ba08486f30f","user_id":"b6b681d5-f45c-4c36-af1c-3aa26381841d"}
{"time":"2026-09-10T08:20:44.185233452Z","level":"INFO","msg":"http request","method":"GET","path":"/api/v1/networks/vpcs/vpc_9e3d6b035c674a2a9a6eab4d515d61e7","status":200,"latency_ms":1,"request_id":"req_9a64f93d-1073-42bc-9e26-d6caa9abc37f","tenant_id":"fd39ecf7-ac0c-4540-9fbd-4ba08486f30f","user_id":"b6b681d5-f45c-4c36-af1c-3aa26381841d"}
{"time":"2026-09-10T08:20:46.211122636Z","level":"INFO","msg":"http request","method":"GET","path":"/api/v1/networks/vpcs/vpc_9e3d6b035c674a2a9a6eab4d515d61e7","status":200,"latency_ms":1,"request_id":"req_4b6cc73e-ef8d-4cf0-95f1-2090494caec1","tenant_id":"fd39ecf7-ac0c-4540-9fbd-4ba08486f30f","user_id":"b6b681d5-f45c-4c36-af1c-3aa26381841d"}
{"time":"2026-09-10T08:20:48.239632644Z","level":"INFO","msg":"http request","method":"GET","path":"/api/v1/networks/vpcs/vpc_9e3d6b035c674a2a9a6eab4d515d61e7","status":200,"latency_ms":1,"request_id":"req_83314e6e-5cd5-47de-b5fc-381c2f06b6bf","tenant_id":"fd39ecf7-ac0c-4540-9fbd-4ba08486f30f","user_id":"b6b681d5-f45c-4c36-af1c-3aa26381841d"}
{"time":"2026-09-10T08:20:50.288974135Z","level":"INFO","msg":"http request","method":"GET","path":"/api/v1/networks/vpcs/vpc_9e3d6b035c674a2a9a6eab4d515d61e7","status":200,"latency_ms":22,"request_id":"req_1827e1b1-a6c0-4291-b388-992cb7a38457","tenant_id":"fd39ecf7-ac0c-4540-9fbd-4ba08486f30f","user_id":"b6b681d5-f45c-4c36-af1c-3aa26381841d"}
{"time":"2026-09-10T08:20:52.31459352Z","level":"INFO","msg":"http request","method":"GET","path":"/api/v1/networks/vpcs/vpc_9e3d6b035c674a2a9a6eab4d515d61e7","status":200,"latency_ms":1,"request_id":"req_3bfba985-fa35-4610-be62-8ecd5bb99177","tenant_id":"fd39ecf7-ac0c-4540-9fbd-4ba08486f30f","user_id":"b6b681d5-f45c-4c36-af1c-3aa26381841d"}
{"time":"2026-09-10T08:20:54.365982453Z","level":"INFO","msg":"http request","method":"GET","path":"/api/v1/networks/vpcs/vpc_9e3d6b035c674a2a9a6eab4d515d61e7","status":200,"latency_ms":1,"request_id":"req_f9e84275-4dfc-4236-8e4b-92d992bdbc49","tenant_id":"fd39ecf7-ac0c-4540-9fbd-4ba08486f30f","user_id":"b6b681d5-f45c-4c36-af1c-3aa26381841d"}
{"time":"2026-09-10T08:20:56.393731723Z","level":"INFO","msg":"http request","method":"GET","path":"/api/v1/networks/vpcs/vpc_9e3d6b035c674a2a9a6eab4d515d61e7","status":200,"latency_ms":1,"request_id":"req_5bfc730a-9b2f-4602-8f29-6fe3ad4bba10","tenant_id":"fd39ecf7-ac0c-4540-9fbd-4ba08486f30f","user_id":"b6b681d5-f45c-4c36-af1c-3aa26381841d"}
{"time":"2026-09-10T08:20:58.420777194Z","level":"INFO","msg":"http request","method":"GET","path":"/api/v1/networks/vpcs/vpc_9e3d6b035c674a2a9a6eab4d515d61e7","status":200,"latency_ms":2,"request_id":"req_21ae2467-b4a7-4637-9d14-7e47e31e9f85","tenant_id":"fd39ecf7-ac0c-4540-9fbd-4ba08486f30f","user_id":"b6b681d5-f45c-4c36-af1c-3aa26381841d"}
{"time":"2026-09-10T08:21:00.447437045Z","level":"INFO","msg":"http request","method":"GET","path":"/api/v1/networks/vpcs/vpc_9e3d6b035c674a2a9a6eab4d515d61e7","status":200,"latency_ms":1,"request_id":"req_bdc82d50-b405-40ff-970a-29a508f48116","tenant_id":"fd39ecf7-ac0c-4540-9fbd-4ba08486f30f","user_id":"b6b681d5-f45c-4c36-af1c-3aa26381841d"}
{"time":"2026-09-10T08:21:02.477308341Z","level":"INFO","msg":"http request","method":"GET","path":"/api/v1/networks/vpcs/vpc_9e3d6b035c674a2a9a6eab4d515d61e7","status":200,"latency_ms":1,"request_id":"req_9d1b0360-1ec8-4d19-84c3-e74ebc5ec138","tenant_id":"fd39ecf7-ac0c-4540-9fbd-4ba08486f30f","user_id":"b6b681d5-f45c-4c36-af1c-3aa26381841d"}
{"time":"2026-09-10T08:21:02.506255847Z","level":"INFO","msg":"http request","method":"GET","path":"/api/v1/networks/vpcs/vpc_9e3d6b035c674a2a9a6eab4d515d61e7","status":200,"latency_ms":1,"request_id":"req_697762b1-2202-44a3-b7da-50da3d7db0f3","tenant_id":"fd39ecf7-ac0c-4540-9fbd-4ba08486f30f","user_id":"b6b681d5-f45c-4c36-af1c-3aa26381841d"}
